local_path,bytes,sha256,origin_host,original_path,provenance,publication_status,acquired
artifacts/raw/orange_exp/source/config/fashion_mnist_config_28x28.yaml,444,b78121cc246524cac89a3f95f0334fc65fc9a67e7880f53d427b0737ce3d0ef5,login11.ufhpc,/orange/woodard/mkunzlermaldaner/_MAINBACKUP/EXPLOGIC/config/fashion_mnist_config_28x28.yaml,author-controlled project archive,owner-controlled,2026-09-16
artifacts/raw/orange_exp/source/config/fashion_mnist_hyperparameters.csv,53,a1736dc568e559e90560cfe59904690a03c72223566fafd39e4bab6a38afe9a3,login11.ufhpc,/orange/woodard/mkunzlermaldaner/_MAINBACKUP/EXPLOGIC/config/fashion_mnist_hyperparameters.csv,author-controlled project archive,owner-controlled,2026-09-16
artifacts/raw/orange_exp/source/config/mnist_config_20x20.yaml,444,43d4dc23116dbf1df33fca29b7adbc9027abc86ab80aa5474ef45cab60cb128a,login11.ufhpc,/orange/woodard/mkunzlermaldaner/_MAINBACKUP/EXPLOGIC/config/mnist_config_20x20.yaml,author-controlled project archive,owner-controlled,2026-09-16
artifacts/raw/orange_exp/source/config/mnist_config_20x20_cpu.yaml,446,f0cef8af4042bd2aad88c7ba23a7d8b89f439386c540ba6955319ed6062842ed,login11.ufhpc,/orange/woodard/mkunzlermaldaner/_MAINBACKUP/EXPLOGIC/config/mnist_config_20x20_cpu.yaml,author-controlled project archive,owner-controlled,2026-09-16
artifacts/raw/orange_exp/source/config/mnist_hyperparameters.csv,53,993678fee906c3cbec5e0764ba48cb548d1e2e4e3574e734cf164eb657f503b1,login11.ufhpc,/orange/woodard/mkunzlermaldaner/_MAINBACKUP/EXPLOGIC/config/mnist_hyperparameters.csv,author-controlled project archive,owner-controlled,2026-09-16
artifacts/raw/orange_exp/source/requirements.txt,971,ca180834408351fc26cf8952de255f61a642632b92eff5706ba14f68d24b76d6,login11.ufhpc,/orange/woodard/mkunzlermaldaner/_MAINBACKUP/EXPLOGIC/requirements.txt,author-controlled project archive,owner-controlled,2026-09-16
artifacts/raw/orange_exp/source/utils/LogicGraph.py,19431,e5dd039964ef364945e9d645c4179fb69f78b631605beee9bfbc2e21a99e033b,login11.ufhpc,/orange/woodard/mkunzlermaldaner/_MAINBACKUP/EXPLOGIC/utils/LogicGraph.py,author-controlled project archive,owner-controlled,2026-09-16
artifacts/raw/orange_exp/source/utils/data_getter.py,2551,4f0e541c1dfd37d21380733c6efd4e4392329c3320db9e492a53daa7d4a3eb5c,login11.ufhpc,/orange/woodard/mkunzlermaldaner/_MAINBACKUP/EXPLOGIC/utils/data_getter.py,author-controlled project archive,owner-controlled,2026-09-16
artifacts/raw/orange_exp/source/utils/mnist_dataset.py,11424,fa3686502fa11eb2c4610be06b430f3b95a594f549d05bc9e052c4171d7cb813,login11.ufhpc,/orange/woodard/mkunzlermaldaner/_MAINBACKUP/EXPLOGIC/utils/mnist_dataset.py,author-controlled project archive,owner-controlled,2026-09-16
artifacts/raw/orange_exp/source/utils/subset_loaders.py,6522,626de2a3962093feb561cc157afb809a8b43963099847586ef35d0e604a94c0f,login11.ufhpc,/orange/woodard/mkunzlermaldaner/_MAINBACKUP/EXPLOGIC/utils/subset_loaders.py,author-controlled project archive,owner-controlled,2026-09-16
artifacts/raw/orange_fpga_backup2/notebooks/Main.ipynb,14595,07511f75427a60a725799e5aa3d95e353bdfca8aec1a2a33c4d4b93dd903e1d6,login11.ufhpc,/orange/woodard/mkunzlermaldaner/_BACKUP2/FPGA/Main.ipynb,author-controlled project archive,owner-controlled,2026-09-16
artifacts/raw/orange_fpga_backup2/notebooks/csv_to_yaml_mnist.ipynb,3126,d6952127857fe0bfda8b16e32235720c6bce701ae94c36287a14f8c34752f6a1,login11.ufhpc,/orange/woodard/mkunzlermaldaner/_BACKUP2/FPGA/csv_to_yaml_mnist.ipynb,author-controlled project archive,owner-controlled,2026-09-16
artifacts/raw/orange_fpga_past/notebooks/Main.ipynb,14595,07511f75427a60a725799e5aa3d95e353bdfca8aec1a2a33c4d4b93dd903e1d6,login11.ufhpc,/orange/woodard/mkunzlermaldaner/_PASTPROJECTS/FPGA/Main.ipynb,author-controlled project archive,owner-controlled,2026-09-16
artifacts/raw/orange_fpga_past/notebooks/csv_to_yaml_mnist.ipynb,3126,d6952127857fe0bfda8b16e32235720c6bce701ae94c36287a14f8c34752f6a1,login11.ufhpc,/orange/woodard/mkunzlermaldaner/_PASTPROJECTS/FPGA/csv_to_yaml_mnist.ipynb,author-controlled project archive,owner-controlled,2026-09-16
artifacts/raw/orange_skeptic/notebooks/DELIVERABLE/DiffLogicFinal.ipynb,563424,73eb56f7f37a598168e39fcd6b84f96413a7b3ac6d0b117e232e5d54482a31e7,login11.ufhpc,/orange/woodard/mkunzlermaldaner/SKEPTIC/schoolhouse_ex/X_StateEmbedding/DELIVERABLE/DiffLogicFinal.ipynb,author-controlled project archive,owner-controlled,2026-09-16
artifacts/raw/orange_skeptic/notebooks/DELIVERABLE/config/csv_to_yaml_mnist.ipynb,3181,7c770310a07ca700c74ead8d8bbb7000ddb5dd50aabfea0a5fa88189b32d0007,login11.ufhpc,/orange/woodard/mkunzlermaldaner/SKEPTIC/schoolhouse_ex/X_StateEmbedding/DELIVERABLE/config/csv_to_yaml_mnist.ipynb,author-controlled project archive,owner-controlled,2026-09-16
artifacts/raw/orange_skeptic/notebooks/Demo.ipynb,197257,016fda67612da5d0f99045875ee5250d4ceeb40bcb5091128c05da8a8cc53671,login11.ufhpc,/orange/woodard/mkunzlermaldaner/SKEPTIC/schoolhouse_ex/X_StateEmbedding/Demo.ipynb,author-controlled project archive,owner-controlled,2026-09-16
artifacts/raw/orange_skeptic/notebooks/DiffLogicClass.ipynb,27410,1729a4224f04dba6c885cb2d24d0d8d6c9a7dc95026ca3bd5546ccec471bfd5e,login11.ufhpc,/orange/woodard/mkunzlermaldaner/SKEPTIC/schoolhouse_ex/X_StateEmbedding/DiffLogicClass.ipynb,author-controlled project archive,owner-controlled,2026-09-16
artifacts/raw/orange_skeptic/notebooks/MNIST-DIFFLOGIC/DiffLogicFinal.ipynb,694627,0d8ec989b9529aea2de67c059b72b511f67977d70f2c002c166835513a5d9870,login11.ufhpc,/orange/woodard/mkunzlermaldaner/SKEPTIC/schoolhouse_ex/X_StateEmbedding/MNIST-DIFFLOGIC/DiffLogicFinal.ipynb,author-controlled project archive,owner-controlled,2026-09-16
artifacts/raw/orange_skeptic/notebooks/MNIST-DIFFLOGIC/Mnist20x20ClassMultiple.ipynb,64639,65afab271f43c2baff6b64c3fdbec2b6fe416429756b44ca99b54a0fb581bdf5,login11.ufhpc,/orange/woodard/mkunzlermaldaner/SKEPTIC/schoolhouse_ex/X_StateEmbedding/MNIST-DIFFLOGIC/Mnist20x20ClassMultiple.ipynb,author-controlled project archive,owner-controlled,2026-09-16
artifacts/raw/orange_skeptic/notebooks/MNIST-DIFFLOGIC/Mnist20x20ClassSingle.ipynb,64680,e41adcdfbe803a2a3e85a38639abedc0a33688d0628fe5f8f509aefbf134b184,login11.ufhpc,/orange/woodard/mkunzlermaldaner/SKEPTIC/schoolhouse_ex/X_StateEmbedding/MNIST-DIFFLOGIC/Mnist20x20ClassSingle.ipynb,author-controlled project archive,owner-controlled,2026-09-16
artifacts/raw/orange_skeptic/notebooks/MNIST-DIFFLOGIC/MnistClassSingle.ipynb,49081,bf28beb90f5aefd60e07a7bd89780f112508d06ccf1b974cb40e05a88f97453f,login11.ufhpc,/orange/woodard/mkunzlermaldaner/SKEPTIC/schoolhouse_ex/X_StateEmbedding/MNIST-DIFFLOGIC/MnistClassSingle.ipynb,author-controlled project archive,owner-controlled,2026-09-16
artifacts/raw/orange_skeptic/notebooks/MNIST-DIFFLOGIC/MnistTrainer.ipynb,609399,afb034bf093a2dd41ca58632e14638554b507401148fd26065803a213df5afdb,login11.ufhpc,/orange/woodard/mkunzlermaldaner/SKEPTIC/schoolhouse_ex/X_StateEmbedding/MNIST-DIFFLOGIC/MnistTrainer.ipynb,author-controlled project archive,owner-controlled,2026-09-16
artifacts/raw/orange_skeptic/notebooks/MNIST-DIFFLOGIC/config/csv_to_yaml_mnist.ipynb,3181,7c770310a07ca700c74ead8d8bbb7000ddb5dd50aabfea0a5fa88189b32d0007,login11.ufhpc,/orange/woodard/mkunzlermaldaner/SKEPTIC/schoolhouse_ex/X_StateEmbedding/MNIST-DIFFLOGIC/config/csv_to_yaml_mnist.ipynb,author-controlled project archive,owner-controlled,2026-09-16
artifacts/raw/orange_skeptic/notebooks/OTHER/TestingGraphs.ipynb,211477,af7263928eb63f71fd8eb9dd1eee651e129ce80b219e133b37428029f0781879,login11.ufhpc,/orange/woodard/mkunzlermaldaner/SKEPTIC/schoolhouse_ex/X_StateEmbedding/OTHER/TestingGraphs.ipynb,author-controlled project archive,owner-controlled,2026-09-16
artifacts/raw/orange_skeptic/notebooks/OTHER/requirements/other/DiffLogicClassBACKUP.ipynb,29818,7d080e92978545968c241aba2fbe7c392767aa410641607131627b9c05561bcc,login11.ufhpc,/orange/woodard/mkunzlermaldaner/SKEPTIC/schoolhouse_ex/X_StateEmbedding/OTHER/requirements/other/DiffLogicClassBACKUP.ipynb,author-controlled project archive,owner-controlled,2026-09-16
artifacts/raw/orange_skeptic/notebooks/SKEPTIC/SkepticTrainer.ipynb,703535,f62067783f977bde92b8f16a23b497784dd698ed0aa24ad9ce708553d36339ba,login11.ufhpc,/orange/woodard/mkunzlermaldaner/SKEPTIC/schoolhouse_ex/X_StateEmbedding/SKEPTIC/SkepticTrainer.ipynb,author-controlled project archive,owner-controlled,2026-09-16
artifacts/raw/orange_skeptic/notebooks/SKEPTIC/config/csv_to_yaml_skeptic.ipynb,3414,ad0ff3824b94aae8ea1dee80a343eb475d81a876ddd4be7703b4efac8e10e9df,login11.ufhpc,/orange/woodard/mkunzlermaldaner/SKEPTIC/schoolhouse_ex/X_StateEmbedding/SKEPTIC/config/csv_to_yaml_skeptic.ipynb,author-controlled project archive,owner-controlled,2026-09-16
artifacts/raw/orange_skeptic/notebooks/SkepticWorkflowConfig.ipynb,124974,8261538e5945af20554463b19ced4f9bdf3c2a2fddbff5fbb087fef8fd7815cd,login11.ufhpc,/orange/woodard/mkunzlermaldaner/SKEPTIC/schoolhouse_ex/X_StateEmbedding/SkepticWorkflowConfig.ipynb,author-controlled project archive,owner-controlled,2026-09-16
artifacts/raw/orange_skeptic/notebooks/SkepticWorkflowNotebook.ipynb,171902,13f95c6b3bda81e02df10b1f1803d41f0410d19bbcea2f9fad96e3fb9ba10ecb,login11.ufhpc,/orange/woodard/mkunzlermaldaner/SKEPTIC/schoolhouse_ex/X_StateEmbedding/SkepticWorkflowNotebook.ipynb,author-controlled project archive,owner-controlled,2026-09-16
artifacts/raw/orange_thesis/notebooks/Main.ipynb,247844,85fad630a097de3c1c2389c187b417239755eb3438e34a924cbba9eeb7b645c1,login11.ufhpc,/orange/woodard/mkunzlermaldaner/THESIS/Main.ipynb,author-controlled project archive,owner-controlled,2026-09-16
artifacts/raw/orange_thesis/notebooks/MainExperiments.ipynb,14819,1aba9260468407ace6a8e917f54543f90db5385305408b19b1c746c337c3a58d,login11.ufhpc,/orange/woodard/mkunzlermaldaner/THESIS/MainExperiments.ipynb,author-controlled project archive,owner-controlled,2026-09-16
artifacts/raw/orange_thesis/notebooks/OldMain.ipynb,318863,d2cb018e05c01208d9488eb6795234d2b36c5100a939dcfe6480b7e3d5ecc51a,login11.ufhpc,/orange/woodard/mkunzlermaldaner/THESIS/OldMain.ipynb,author-controlled project archive,owner-controlled,2026-09-16
artifacts/raw/orange_thesis/notebooks/StephenMain.ipynb,753814,ddce203de6f5c2052ce5864ce3e2b547125360582251ec2ece00c039eb409321,login11.ufhpc,/orange/woodard/mkunzlermaldaner/THESIS/StephenMain.ipynb,author-controlled project archive,owner-controlled,2026-09-16
artifacts/raw/orange_thesis/notebooks/Untitled.ipynb,82978,5d625c969ff564435ee2199e7fb0e0893748576e0ca24e462e598db90f2c4ba0,login11.ufhpc,/orange/woodard/mkunzlermaldaner/THESIS/Untitled.ipynb,author-controlled project archive,owner-controlled,2026-09-16
artifacts/raw/orange_visualizer/notebooks/model-training/LogoIdeation.ipynb,18406146,fdce1b6e3ca06f4d9c9247abcd6f1c55c1ff557758545753894b29df83279b18,login11.ufhpc,/orange/woodard/mkunzlermaldaner/VISUALIZER/DiffLogicVisualizer/model-training/LogoIdeation.ipynb,author-controlled project archive,owner-controlled,2026-09-16
artifacts/raw/orange_visualizer/notebooks/model-training/cpu_difflogic.ipynb,63768,dc8695e5910d6631adcda7abda7019408c09584d2127e0a5cf1d9f9a8e8a08e4,login11.ufhpc,/orange/woodard/mkunzlermaldaner/VISUALIZER/DiffLogicVisualizer/model-training/cpu_difflogic.ipynb,author-controlled project archive,owner-controlled,2026-09-16
artifacts/raw/orange_visualizer/notebooks/model-training/train_main.ipynb,375306,5b751f7da187244a6c45ac71640507283775f9678b2a426b85c44764f545b25e,login11.ufhpc,/orange/woodard/mkunzlermaldaner/VISUALIZER/DiffLogicVisualizer/model-training/train_main.ipynb,author-controlled project archive,owner-controlled,2026-09-16
